map_index,survey_number,lon,lat,tile_lon_center,tile_lat_center,tile_lon_min,tile_lat_min,tile_lon_max,tile_lat_max,min_lon,min_lat,max_lon,max_lat,method
1,120711150,-12.773567,35.902733,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
2,120711150,-12.09124102,36.44975693,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
3,120711150,-12.12329166,36.42436334,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
4,120711150,-12.15486737,36.39855253,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
5,120711150,-12.1891794,36.37521949,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
6,120711150,-12.22501111,36.35333272,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
7,120711150,-12.25782856,36.32859969,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
8,120711150,-12.29015098,36.30341788,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
9,120711150,-12.32204113,36.27786659,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
10,120711150,-12.35397605,36.25240747,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
11,120711150,-12.3838828,36.22529829,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
12,120711150,-12.41371345,36.19811744,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
13,120711150,-12.44402336,36.17125997,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
14,120711150,-12.47405837,36.14421663,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
15,120711150,-12.50433354,36.11734027,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
16,120711150,-12.53490448,36.09073263,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
17,120711150,-12.56622525,36.06462354,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
18,120711150,-12.59743809,36.03841301,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
19,120711150,-12.05889289,36.4749059,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
20,120711150,-12.02662902,36.50010574,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
21,120711150,-11.99434436,36.5252775,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
22,120711150,-11.96198425,36.55038554,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
23,120711150,-11.36280976,37.0382835,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
24,120711150,-11.39473008,37.01297701,-12.775003433227539,35.92500305175781,-12.800003051757812,35.900001525878906,-12.750003814697266,35.95000457763672,-13.9523719,34.91617215,-11.36280976,37.0382835,1D
